Degree,Specialization,CGPA,JobRole,Programming,Internship,Projects,Certification,ProblemSolving
M.Sc,Cyber Security,7.7,Cyber Security Analyst,Python,Yes,3,Yes,Medium
B.Sc,Finance,7.2,Business Analyst,Java,No,3,No,Medium
B.Sc,Software Engineering,7.33,DevOps Engineer,Java,No,2,No,Medium
MCA,Information Security,6.35,Support Engineer,Python,No,0,Yes,Low
B.Tech,CSE,6.32,DevOps Engineer,C++,No,0,Yes,Low
B.Sc,IT,9.03,Cloud Engineer,Python,Yes,4,Yes,High
MBA,Machine Learning,6.9,Data Scientist,Python,No,1,Yes,Low
M.Sc,Data Science,9.33,Data Scientist,Python,Yes,3,Yes,High
BBA,Finance,7.28,Business Analyst,C++,No,2,No,Medium
M.Sc,Software Engineering,9.51,Software Developer,Java,Yes,4,No,High
M.Sc,Electronics,9.07,Cloud Engineer,Java,Yes,3,No,High
M.Tech,CSE,6.54,DevOps Engineer,Python,No,1,No,Low
M.Tech,AI,6.59,Data Scientist,Python,No,0,Yes,Low
M.Sc,IT,6.3,Support Engineer,Python,No,0,Yes,Low
B.Tech,Data Science,7.43,Business Analyst,Python,No,2,Yes,Medium
BCA,Data Science,8.28,Data Scientist,Python,Yes,2,Yes,Medium
BCA,Software Engineering,9.35,Software Developer,Java,Yes,5,No,High
M.Sc,Electronics,8.49,Support Engineer,Java,Yes,3,Yes,Medium
MCA,Electronics,9.15,Cloud Engineer,Java,Yes,4,Yes,High
MCA,Data Science,8.98,Data Scientist,Python,Yes,3,Yes,High
B.Tech,Data Science,9.66,Data Scientist,Python,Yes,5,Yes,High
B.Tech,Cyber Security,8.19,Cyber Security Analyst,Python,Yes,2,Yes,Medium
M.Sc,Machine Learning,9.29,AI Engineer,Python,Yes,3,Yes,High
BCA,AI,6.89,Data Scientist,Python,No,0,Yes,Low
M.Tech,Software Engineering,7.87,Software Developer,Java,Yes,2,No,Medium
BCA,Finance,8.22,Business Analyst,Java,Yes,2,No,Medium
M.Tech,Business Analytics,6.53,Business Analyst,Java,No,0,Yes,Low
M.Tech,Electronics,9.26,Cloud Engineer,Python,Yes,3,Yes,High
BCA,Cyber Security,7.77,Cyber Security Analyst,Python,Yes,2,Yes,Medium
BBA,Information Security,8.37,Cyber Security Analyst,Python,Yes,3,No,Medium
BCA,Software Engineering,8.7,Software Developer,Java,Yes,5,No,High
BCA,Finance,9.56,Business Analyst,C++,Yes,5,Yes,High
M.Tech,Electronics,6.98,Support Engineer,Java,No,1,Yes,Low
MBA,Software Engineering,6.09,DevOps Engineer,Java,No,1,No,Low
MCA,Machine Learning,8.05,Data Scientist,Python,Yes,2,Yes,Medium
BBA,CSE,9.83,Software Developer,Python,Yes,5,Yes,High
BCA,Business Analytics,8.15,Business Analyst,Python,Yes,3,No,Medium
B.Tech,Data Science,9.24,Data Scientist,Python,Yes,4,Yes,High
M.Sc,Machine Learning,8.38,AI Engineer,Python,Yes,2,Yes,Medium
MCA,AI,6.53,Data Scientist,Python,No,0,Yes,Low
M.Sc,AI,8.34,AI Engineer,Python,Yes,3,Yes,Medium
MBA,Finance,8.87,Business Analyst,Java,Yes,5,Yes,High
BBA,Electronics,7.63,Support Engineer,C++,Yes,2,Yes,Medium
BCA,Software Engineering,9.64,Software Developer,Java,Yes,5,Yes,High
MBA,Electronics,8.37,Support Engineer,Python,Yes,3,No,Medium
BCA,AI,6.69,Data Scientist,Python,No,0,Yes,Low
B.Sc,Machine Learning,7.03,Data Scientist,Python,No,3,Yes,Medium
B.Tech,Data Science,9.89,Data Scientist,Python,Yes,4,Yes,High
MCA,Business Analytics,9.2,Business Analyst,C++,Yes,5,No,High
B.Sc,CSE,7.91,DevOps Engineer,C++,Yes,2,Yes,Medium
M.Sc,Software Engineering,9.11,Software Developer,Java,Yes,3,Yes,High
B.Tech,AI,9.03,AI Engineer,Python,Yes,3,Yes,High
BBA,Business Analytics,8.69,Business Analyst,C++,Yes,3,No,High
M.Tech,AI,6.72,Data Scientist,Python,No,1,Yes,Low
B.Sc,Data Science,8.66,Data Scientist,Python,Yes,4,Yes,High
BCA,Finance,6.78,Business Analyst,Java,No,0,No,Low
BCA,Data Science,9.09,Data Scientist,Python,Yes,4,Yes,High
B.Sc,Software Engineering,8.38,Software Developer,Java,Yes,3,No,Medium
MCA,IT,8.65,Cloud Engineer,Java,Yes,5,No,High
M.Sc,Cyber Security,6.53,Support Engineer,Python,No,1,Yes,Low
B.Tech,Electronics,8.53,Support Engineer,C++,Yes,3,Yes,High
MCA,CSE,9.89,Software Developer,Python,Yes,4,No,High
BCA,Data Science,9.53,Data Scientist,Python,Yes,3,Yes,High
B.Sc,Electronics,9.2,Cloud Engineer,Python,Yes,4,Yes,High
M.Tech,Software Engineering,6.81,DevOps Engineer,Java,No,1,No,Low
MBA,Machine Learning,9.79,AI Engineer,Python,Yes,4,Yes,High
MBA,IT,9.67,Cloud Engineer,Python,Yes,3,No,High
BCA,CSE,8.72,Software Developer,Java,Yes,4,No,High
BCA,Cyber Security,6.12,Support Engineer,Python,No,1,Yes,Low
BCA,CSE,8.64,Software Developer,Python,Yes,4,Yes,High
BCA,CSE,9.14,Software Developer,C++,Yes,4,Yes,High
BBA,IT,7.27,Support Engineer,Java,No,3,No,Medium
M.Sc,CSE,8.48,DevOps Engineer,C++,Yes,2,Yes,Medium
BCA,Electronics,7.93,Support Engineer,C++,Yes,3,Yes,Medium
B.Sc,Software Engineering,9.33,Software Developer,Java,Yes,5,No,High
MCA,Cyber Security,8.22,Cyber Security Analyst,Python,Yes,2,Yes,Medium
B.Sc,CSE,9.16,Software Developer,C++,Yes,3,Yes,High
M.Tech,IT,8.6,Cloud Engineer,Python,Yes,4,No,High
B.Sc,AI,7.91,AI Engineer,Python,Yes,2,Yes,Medium
M.Tech,Information Security,8.84,Cyber Security Analyst,Python,Yes,3,No,High
MBA,CSE,6.52,DevOps Engineer,C++,No,0,No,Low
M.Sc,Finance,8.37,Business Analyst,Java,Yes,2,Yes,Medium
MCA,Information Security,9.68,Cyber Security Analyst,Python,Yes,4,No,High
M.Tech,Electronics,8.65,Support Engineer,Java,Yes,4,Yes,High
B.Tech,Cyber Security,9.99,Cyber Security Analyst,Python,Yes,4,Yes,High
M.Sc,IT,6.81,Support Engineer,C++,No,1,Yes,Low
M.Sc,Software Engineering,9.47,Software Developer,Java,Yes,5,Yes,High
M.Tech,Software Engineering,7.26,DevOps Engineer,Java,No,3,Yes,Medium
M.Tech,Cyber Security,9.73,Cyber Security Analyst,Python,Yes,5,Yes,High
BCA,Business Analytics,7.34,Business Analyst,C++,No,3,No,Medium
BCA,Machine Learning,9.38,AI Engineer,Python,Yes,4,Yes,High
BBA,IT,7.76,Support Engineer,Java,Yes,2,Yes,Medium
M.Tech,AI,6.94,Data Scientist,Python,No,1,Yes,Low
B.Tech,Machine Learning,8.51,AI Engineer,Python,Yes,3,Yes,High
BCA,Data Science,8.26,Data Scientist,Python,Yes,2,Yes,Medium
BBA,Software Engineering,9.53,Software Developer,Java,Yes,5,No,High
MBA,Software Engineering,8.18,Software Developer,Java,Yes,2,No,Medium
MBA,AI,6.32,Data Scientist,Python,No,0,Yes,Low
MBA,Software Engineering,7.13,DevOps Engineer,Java,No,3,No,Medium
B.Sc,Machine Learning,8.74,AI Engineer,Python,Yes,4,Yes,High
BBA,IT,9.36,Cloud Engineer,Java,Yes,4,Yes,High
MCA,Data Science,7.82,Business Analyst,Python,Yes,2,Yes,Medium
MCA,AI,7.48,Data Scientist,Python,No,3,Yes,Medium
B.Sc,Electronics,6.08,Support Engineer,Java,No,0,Yes,Low
M.Sc,Machine Learning,9.5,AI Engineer,Python,Yes,5,Yes,High
M.Tech,IT,9.68,Cloud Engineer,C++,Yes,4,No,High
B.Sc,Data Science,7.0,Business Analyst,Python,No,3,Yes,Medium
B.Sc,Finance,6.68,Business Analyst,C++,No,1,Yes,Low
BCA,AI,6.83,Data Scientist,Python,No,1,Yes,Low
BBA,Information Security,6.63,Support Engineer,Python,No,1,No,Low
MCA,Data Science,8.68,Data Scientist,Python,Yes,3,Yes,High
BBA,IT,6.59,Support Engineer,Java,No,0,Yes,Low
B.Tech,Electronics,9.99,Cloud Engineer,Python,Yes,4,No,High
MCA,IT,8.12,Cloud Engineer,Python,Yes,2,No,Medium
M.Tech,Data Science,8.03,Data Scientist,Python,Yes,3,Yes,Medium
B.Sc,IT,8.57,Cloud Engineer,Python,Yes,3,No,High
MBA,Software Engineering,9.29,Software Developer,Java,Yes,4,No,High
M.Sc,AI,9.88,AI Engineer,Python,Yes,3,Yes,High
BCA,Cyber Security,9.52,Cyber Security Analyst,Python,Yes,3,Yes,High
B.Tech,Electronics,6.77,Support Engineer,C++,No,1,Yes,Low
B.Tech,AI,9.97,AI Engineer,Python,Yes,3,Yes,High
B.Tech,Business Analytics,6.08,Business Analyst,Java,No,0,No,Low
B.Sc,AI,7.69,Data Scientist,Python,Yes,3,Yes,Medium
MCA,Business Analytics,8.52,Business Analyst,C++,Yes,5,No,High
B.Sc,Finance,8.8,Business Analyst,Java,Yes,4,Yes,High
B.Sc,Software Engineering,8.48,Software Developer,Java,Yes,3,Yes,Medium
BCA,Software Engineering,9.67,Software Developer,Java,Yes,3,Yes,High
M.Tech,Software Engineering,6.61,DevOps Engineer,Java,No,0,Yes,Low
MCA,Software Engineering,6.29,DevOps Engineer,Java,No,1,Yes,Low
B.Sc,Software Engineering,8.5,Software Developer,Java,Yes,3,Yes,High
MBA,Finance,7.75,Business Analyst,C++,Yes,3,No,Medium
B.Tech,Data Science,9.11,Data Scientist,Python,Yes,3,Yes,High
B.Sc,Finance,9.75,Business Analyst,Python,Yes,3,Yes,High
MCA,Cyber Security,8.94,Cyber Security Analyst,Python,Yes,5,Yes,High
M.Sc,Information Security,7.42,Cyber Security Analyst,Python,No,2,Yes,Medium
B.Sc,Business Analytics,9.26,Business Analyst,Python,Yes,5,No,High
BCA,Cyber Security,8.13,Cyber Security Analyst,Python,Yes,3,Yes,Medium
B.Tech,Cyber Security,7.78,Cyber Security Analyst,Python,Yes,2,Yes,Medium
BCA,IT,7.21,Support Engineer,Java,No,2,No,Medium
B.Tech,Software Engineering,8.0,Software Developer,Java,Yes,2,Yes,Medium
B.Tech,CSE,6.47,DevOps Engineer,C++,No,1,No,Low
M.Tech,Electronics,9.66,Cloud Engineer,C++,Yes,4,No,High
MCA,IT,6.28,Support Engineer,C++,No,1,Yes,Low
BCA,Software Engineering,6.73,DevOps Engineer,Java,No,0,No,Low
B.Sc,IT,8.69,Cloud Engineer,Python,Yes,3,Yes,High
MBA,Electronics,8.29,Support Engineer,Java,Yes,3,No,Medium
BCA,Finance,6.07,Business Analyst,C++,No,1,Yes,Low
B.Tech,AI,8.44,AI Engineer,Python,Yes,2,Yes,Medium
BBA,Finance,6.06,Business Analyst,Java,No,0,Yes,Low
M.Sc,Finance,7.62,Business Analyst,Java,Yes,3,Yes,Medium
BCA,Business Analytics,9.25,Business Analyst,Java,Yes,3,No,High
M.Sc,Business Analytics,8.06,Business Analyst,Python,Yes,2,No,Medium
MCA,Electronics,6.57,Support Engineer,Python,No,0,No,Low
BCA,AI,8.74,AI Engineer,Python,Yes,5,Yes,High
MCA,Cyber Security,8.46,Cyber Security Analyst,Python,Yes,2,Yes,Medium
MBA,AI,7.6,Data Scientist,Python,Yes,3,Yes,Medium
BBA,Machine Learning,8.34,AI Engineer,Python,Yes,2,Yes,Medium
BBA,Finance,6.74,Business Analyst,Java,No,0,Yes,Low
BBA,Electronics,8.77,Support Engineer,Java,Yes,5,Yes,High
MCA,Machine Learning,6.61,Data Scientist,Python,No,1,Yes,Low
MBA,Information Security,9.0,Cyber Security Analyst,Python,Yes,4,Yes,High
BCA,Data Science,8.0,Data Scientist,Python,Yes,3,Yes,Medium
B.Tech,AI,7.74,Data Scientist,Python,Yes,3,Yes,Medium
BCA,AI,8.83,AI Engineer,Python,Yes,4,Yes,High
M.Sc,Electronics,6.98,Support Engineer,Python,No,0,No,Low
B.Sc,AI,9.76,AI Engineer,Python,Yes,4,Yes,High
BCA,Data Science,8.39,Data Scientist,Python,Yes,3,Yes,Medium
BBA,IT,6.09,Support Engineer,C++,No,1,No,Low
MBA,IT,9.03,Cloud Engineer,Python,Yes,5,No,High
MCA,Information Security,7.07,Cyber Security Analyst,Python,No,3,Yes,Medium
M.Tech,IT,6.06,Support Engineer,Python,No,0,No,Low
M.Sc,Business Analytics,8.08,Business Analyst,Python,Yes,2,Yes,Medium
B.Sc,Machine Learning,7.62,Data Scientist,Python,Yes,2,Yes,Medium
M.Sc,Electronics,6.16,Support Engineer,C++,No,1,Yes,Low
B.Tech,Cyber Security,7.34,Cyber Security Analyst,Python,No,2,Yes,Medium
B.Sc,Electronics,7.43,Support Engineer,C++,No,2,Yes,Medium
B.Tech,IT,7.48,Support Engineer,Java,No,2,Yes,Medium
B.Tech,Electronics,6.72,Support Engineer,Java,No,0,Yes,Low
M.Tech,Finance,6.13,Business Analyst,Java,No,1,Yes,Low
B.Sc,Software Engineering,7.87,Software Developer,Java,Yes,3,No,Medium
MBA,IT,6.55,Support Engineer,C++,No,1,No,Low
M.Sc,Cyber Security,6.63,Support Engineer,Python,No,0,Yes,Low
BCA,Information Security,7.09,Cyber Security Analyst,Python,No,2,Yes,Medium
B.Sc,Business Analytics,9.65,Business Analyst,C++,Yes,4,No,High
MBA,IT,9.41,Cloud Engineer,Python,Yes,3,No,High
M.Tech,Information Security,7.26,Cyber Security Analyst,Python,No,3,Yes,Medium
B.Sc,Data Science,7.13,Business Analyst,Python,No,2,Yes,Medium
MBA,Information Security,8.4,Cyber Security Analyst,Python,Yes,2,Yes,Medium
M.Tech,Information Security,9.32,Cyber Security Analyst,Python,Yes,3,Yes,High
B.Sc,Cyber Security,7.2,Cyber Security Analyst,Python,No,2,Yes,Medium
MCA,AI,7.75,Data Scientist,Python,Yes,2,Yes,Medium
BCA,Electronics,7.44,Support Engineer,Java,No,3,No,Medium
MCA,Finance,9.55,Business Analyst,C++,Yes,3,Yes,High
BCA,AI,9.47,AI Engineer,Python,Yes,3,Yes,High
MCA,Finance,7.02,Business Analyst,C++,No,3,No,Medium
M.Tech,Software Engineering,7.74,Software Developer,Java,Yes,3,No,Medium
B.Sc,Information Security,8.55,Cyber Security Analyst,Python,Yes,3,No,High
BBA,IT,6.79,Support Engineer,C++,No,1,No,Low
MBA,CSE,8.49,DevOps Engineer,Java,Yes,2,No,Medium
B.Tech,Software Engineering,7.04,DevOps Engineer,Java,No,3,No,Medium
B.Tech,Finance,9.54,Business Analyst,Java,Yes,4,No,High
BCA,CSE,6.16,DevOps Engineer,Python,No,0,Yes,Low
B.Tech,Machine Learning,6.34,Data Scientist,Python,No,1,Yes,Low
BBA,Business Analytics,9.96,Business Analyst,C++,Yes,3,Yes,High
M.Tech,Information Security,9.06,Cyber Security Analyst,Python,Yes,5,No,High
M.Tech,Business Analytics,6.47,Business Analyst,Java,No,1,Yes,Low
MBA,Data Science,6.04,Business Analyst,Python,No,0,Yes,Low
MCA,CSE,8.86,Software Developer,Java,Yes,4,Yes,High
BBA,Machine Learning,8.67,AI Engineer,Python,Yes,5,Yes,High
B.Sc,Information Security,9.89,Cyber Security Analyst,Python,Yes,4,No,High
M.Tech,IT,9.42,Cloud Engineer,C++,Yes,4,Yes,High
MBA,AI,6.36,Data Scientist,Python,No,1,Yes,Low
M.Sc,CSE,7.47,DevOps Engineer,Java,No,3,No,Medium
MBA,CSE,8.04,DevOps Engineer,C++,Yes,2,No,Medium
BBA,Electronics,6.9,Support Engineer,Java,No,1,No,Low
BBA,Business Analytics,6.65,Business Analyst,Python,No,0,Yes,Low
B.Tech,IT,9.57,Cloud Engineer,Java,Yes,3,No,High
MCA,Information Security,9.31,Cyber Security Analyst,Python,Yes,3,Yes,High
M.Tech,Electronics,7.75,Support Engineer,C++,Yes,2,No,Medium
M.Tech,AI,7.93,AI Engineer,Python,Yes,3,Yes,Medium
B.Tech,Cyber Security,6.92,Support Engineer,Python,No,0,Yes,Low
M.Tech,IT,9.29,Cloud Engineer,C++,Yes,5,No,High
B.Sc,CSE,7.04,DevOps Engineer,Java,No,2,Yes,Medium
BCA,Information Security,8.0,Cyber Security Analyst,Python,Yes,2,Yes,Medium
B.Sc,Machine Learning,9.84,AI Engineer,Python,Yes,4,Yes,High
B.Sc,AI,9.3,AI Engineer,Python,Yes,5,Yes,High
M.Tech,Information Security,8.67,Cyber Security Analyst,Python,Yes,4,No,High
MCA,Information Security,9.9,Cyber Security Analyst,Python,Yes,3,No,High
BCA,Data Science,9.81,Data Scientist,Python,Yes,5,Yes,High
B.Tech,Business Analytics,6.08,Business Analyst,Java,No,0,Yes,Low
MBA,Business Analytics,9.97,Business Analyst,Java,Yes,5,No,High
M.Tech,Business Analytics,7.93,Business Analyst,Java,Yes,2,Yes,Medium
MCA,Business Analytics,8.88,Business Analyst,Python,Yes,3,No,High
BCA,CSE,8.85,Software Developer,Python,Yes,5,Yes,High
MCA,CSE,9.46,Software Developer,Java,Yes,3,Yes,High
MBA,Information Security,7.96,Cyber Security Analyst,Python,Yes,3,Yes,Medium
BCA,Electronics,9.56,Cloud Engineer,C++,Yes,3,Yes,High
B.Sc,Machine Learning,7.8,Data Scientist,Python,Yes,3,Yes,Medium
BBA,Electronics,9.77,Cloud Engineer,Python,Yes,5,No,High
B.Sc,Business Analytics,7.77,Business Analyst,Java,Yes,2,No,Medium
BBA,Finance,8.31,Business Analyst,Python,Yes,3,Yes,Medium
BBA,Business Analytics,6.46,Business Analyst,Python,No,0,Yes,Low
M.Tech,Cyber Security,7.99,Cyber Security Analyst,Python,Yes,2,Yes,Medium
B.Sc,IT,8.27,Cloud Engineer,C++,Yes,2,No,Medium
M.Tech,Machine Learning,7.5,Data Scientist,Python,Yes,3,Yes,Medium
MCA,Cyber Security,7.54,Cyber Security Analyst,Python,Yes,2,Yes,Medium
BBA,CSE,9.82,Software Developer,C++,Yes,5,No,High
BCA,AI,9.83,AI Engineer,Python,Yes,4,Yes,High
MCA,Data Science,9.02,Data Scientist,Python,Yes,5,Yes,High
MCA,IT,8.58,Cloud Engineer,C++,Yes,5,Yes,High
M.Tech,Business Analytics,7.02,Business Analyst,Java,No,3,Yes,Medium
B.Tech,Cyber Security,7.27,Cyber Security Analyst,Python,No,2,Yes,Medium
B.Sc,Business Analytics,8.32,Business Analyst,Java,Yes,2,No,Medium
BCA,Finance,7.16,Business Analyst,Python,No,2,Yes,Medium
B.Sc,IT,9.04,Cloud Engineer,Python,Yes,4,Yes,High
BCA,CSE,6.78,DevOps Engineer,C++,No,1,No,Low
MBA,Finance,9.08,Business Analyst,Python,Yes,4,No,High
B.Sc,Cyber Security,7.36,Cyber Security Analyst,Python,No,2,Yes,Medium
B.Tech,Data Science,7.79,Business Analyst,Python,Yes,3,Yes,Medium
BBA,AI,6.93,Data Scientist,Python,No,0,Yes,Low
M.Sc,Business Analytics,8.99,Business Analyst,Python,Yes,5,Yes,High
BCA,Cyber Security,8.44,Cyber Security Analyst,Python,Yes,3,Yes,Medium
BCA,Software Engineering,8.63,Software Developer,Java,Yes,4,No,High
B.Sc,CSE,9.39,Software Developer,Python,Yes,4,Yes,High
M.Tech,Business Analytics,7.85,Business Analyst,Java,Yes,3,No,Medium
MBA,CSE,8.55,Software Developer,Java,Yes,3,Yes,High
BBA,Machine Learning,7.8,Data Scientist,Python,Yes,3,Yes,Medium
M.Sc,Electronics,9.91,Cloud Engineer,Python,Yes,5,Yes,High
B.Tech,AI,6.79,Data Scientist,Python,No,0,Yes,Low
BCA,Cyber Security,8.5,Cyber Security Analyst,Python,Yes,3,Yes,High
M.Sc,AI,9.56,AI Engineer,Python,Yes,3,Yes,High
B.Tech,Machine Learning,9.32,AI Engineer,Python,Yes,3,Yes,High
M.Sc,Finance,7.38,Business Analyst,C++,No,3,Yes,Medium
BBA,Cyber Security,6.33,Support Engineer,Python,No,0,Yes,Low
B.Tech,CSE,7.48,DevOps Engineer,C++,No,3,No,Medium
MBA,IT,9.06,Cloud Engineer,Python,Yes,5,Yes,High
MCA,CSE,9.15,Software Developer,Python,Yes,5,No,High
B.Sc,AI,9.03,AI Engineer,Python,Yes,5,Yes,High
MCA,Data Science,9.55,Data Scientist,Python,Yes,3,Yes,High
M.Sc,Software Engineering,7.23,DevOps Engineer,Java,No,3,No,Medium
B.Sc,Software Engineering,7.26,DevOps Engineer,Java,No,2,No,Medium
M.Sc,Finance,7.65,Business Analyst,Java,Yes,2,No,Medium
M.Tech,Software Engineering,6.77,DevOps Engineer,Java,No,0,Yes,Low
MBA,CSE,7.87,DevOps Engineer,Python,Yes,2,No,Medium
BCA,Electronics,7.85,Support Engineer,C++,Yes,3,No,Medium
M.Tech,Data Science,6.01,Business Analyst,Python,No,1,Yes,Low
BCA,CSE,7.99,DevOps Engineer,Python,Yes,2,No,Medium
BCA,CSE,8.7,Software Developer,C++,Yes,3,No,High
M.Sc,Software Engineering,6.12,DevOps Engineer,Java,No,1,No,Low
M.Tech,Software Engineering,9.84,Software Developer,Java,Yes,3,Yes,High
BCA,Information Security,9.62,Cyber Security Analyst,Python,Yes,5,Yes,High
M.Sc,Finance,6.15,Business Analyst,Java,No,0,No,Low
M.Sc,Electronics,6.13,Support Engineer,Python,No,1,Yes,Low
M.Sc,Electronics,7.71,Support Engineer,C++,Yes,2,No,Medium
B.Tech,IT,6.71,Support Engineer,C++,No,1,No,Low
M.Sc,Data Science,7.37,Business Analyst,Python,No,3,Yes,Medium
MCA,IT,8.8,Cloud Engineer,Python,Yes,5,Yes,High
M.Sc,Machine Learning,7.56,Data Scientist,Python,Yes,2,Yes,Medium
MCA,Software Engineering,9.27,Software Developer,Java,Yes,4,Yes,High
BCA,AI,8.29,AI Engineer,Python,Yes,3,Yes,Medium
BBA,AI,7.05,Data Scientist,Python,No,2,Yes,Medium
MCA,AI,8.92,AI Engineer,Python,Yes,3,Yes,High
MCA,Cyber Security,7.71,Cyber Security Analyst,Python,Yes,2,Yes,Medium
M.Sc,Electronics,6.21,Support Engineer,Python,No,0,No,Low
BCA,Electronics,9.06,Cloud Engineer,C++,Yes,3,Yes,High
B.Sc,AI,7.46,Data Scientist,Python,No,2,Yes,Medium
MBA,Finance,9.72,Business Analyst,C++,Yes,5,Yes,High
B.Tech,AI,9.02,AI Engineer,Python,Yes,3,Yes,High
BCA,Information Security,9.6,Cyber Security Analyst,Python,Yes,5,No,High
BBA,AI,7.24,Data Scientist,Python,No,3,Yes,Medium
BBA,Machine Learning,7.97,Data Scientist,Python,Yes,3,Yes,Medium
B.Sc,Information Security,8.34,Cyber Security Analyst,Python,Yes,3,No,Medium
MBA,Cyber Security,9.08,Cyber Security Analyst,Python,Yes,5,Yes,High
M.Sc,Cyber Security,9.96,Cyber Security Analyst,Python,Yes,4,Yes,High
M.Sc,Machine Learning,9.07,AI Engineer,Python,Yes,3,Yes,High
M.Tech,Electronics,9.33,Cloud Engineer,Python,Yes,3,No,High
BBA,CSE,7.46,DevOps Engineer,Java,No,2,No,Medium
BBA,Software Engineering,8.7,Software Developer,Java,Yes,4,No,High
BBA,Information Security,6.7,Support Engineer,Python,No,0,Yes,Low
B.Sc,Machine Learning,7.31,Data Scientist,Python,No,3,Yes,Medium
MBA,AI,9.35,AI Engineer,Python,Yes,4,Yes,High
M.Sc,AI,7.52,Data Scientist,Python,Yes,2,Yes,Medium
B.Sc,Data Science,8.63,Data Scientist,Python,Yes,5,Yes,High
MBA,Software Engineering,6.52,DevOps Engineer,Java,No,0,No,Low
B.Sc,Finance,7.18,Business Analyst,Java,No,2,Yes,Medium
MBA,Data Science,6.5,Business Analyst,Python,No,0,Yes,Low
BBA,Information Security,6.09,Support Engineer,Python,No,0,No,Low
BCA,Cyber Security,7.97,Cyber Security Analyst,Python,Yes,2,Yes,Medium
MBA,CSE,8.16,DevOps Engineer,C++,Yes,3,Yes,Medium
MCA,Electronics,9.19,Cloud Engineer,C++,Yes,5,No,High
B.Tech,AI,7.8,AI Engineer,Python,Yes,3,Yes,Medium
M.Tech,IT,7.64,Support Engineer,Java,Yes,2,Yes,Medium
MCA,Finance,6.16,Business Analyst,Python,No,1,Yes,Low
BCA,Business Analytics,6.03,Business Analyst,Java,No,0,No,Low
B.Sc,Software Engineering,9.62,Software Developer,Java,Yes,5,No,High
M.Tech,AI,6.71,Data Scientist,Python,No,0,Yes,Low
M.Sc,Information Security,6.18,Support Engineer,Python,No,1,No,Low
M.Tech,Information Security,8.44,Cyber Security Analyst,Python,Yes,2,Yes,Medium
MBA,AI,8.85,AI Engineer,Python,Yes,3,Yes,High
M.Sc,Electronics,8.57,Support Engineer,Java,Yes,4,Yes,High
MBA,Electronics,6.12,Support Engineer,C++,No,1,No,Low
MCA,Data Science,6.61,Business Analyst,Python,No,1,Yes,Low
B.Tech,Data Science,6.13,Business Analyst,Python,No,1,Yes,Low
BBA,Information Security,7.7,Cyber Security Analyst,Python,Yes,2,No,Medium
B.Tech,Data Science,6.77,Business Analyst,Python,No,1,Yes,Low
M.Tech,Cyber Security,8.64,Cyber Security Analyst,Python,Yes,5,Yes,High
M.Sc,Finance,7.19,Business Analyst,Python,No,3,Yes,Medium
MBA,Data Science,7.04,Business Analyst,Python,No,3,Yes,Medium
B.Sc,CSE,6.87,DevOps Engineer,Java,No,1,Yes,Low
BCA,AI,7.52,Data Scientist,Python,Yes,2,Yes,Medium
B.Tech,Business Analytics,6.35,Business Analyst,Java,No,0,No,Low
M.Tech,Electronics,8.04,Support Engineer,C++,Yes,3,No,Medium
MCA,Finance,9.18,Business Analyst,Python,Yes,3,No,High
MBA,Finance,7.77,Business Analyst,Java,Yes,3,No,Medium
MBA,Information Security,9.52,Cyber Security Analyst,Python,Yes,4,Yes,High
BBA,Electronics,6.95,Support Engineer,Python,No,1,No,Low
B.Sc,Information Security,8.07,Cyber Security Analyst,Python,Yes,2,No,Medium
BBA,Machine Learning,9.04,AI Engineer,Python,Yes,4,Yes,High
MCA,Cyber Security,8.55,Cyber Security Analyst,Python,Yes,3,Yes,High
MBA,Finance,6.58,Business Analyst,Java,No,0,No,Low
MBA,Machine Learning,9.14,AI Engineer,Python,Yes,5,Yes,High
M.Tech,Information Security,8.6,Cyber Security Analyst,Python,Yes,3,No,High
BBA,Business Analytics,9.28,Business Analyst,Java,Yes,3,No,High
BCA,IT,6.23,Support Engineer,Python,No,1,Yes,Low
MCA,CSE,7.97,DevOps Engineer,C++,Yes,3,Yes,Medium
BBA,IT,7.9,Support Engineer,Python,Yes,2,No,Medium
M.Tech,CSE,9.4,Software Developer,Java,Yes,4,Yes,High
BBA,AI,8.02,AI Engineer,Python,Yes,3,Yes,Medium
M.Sc,AI,8.31,AI Engineer,Python,Yes,3,Yes,Medium
BBA,Business Analytics,6.72,Business Analyst,C++,No,1,No,Low
M.Tech,CSE,7.12,DevOps Engineer,Python,No,2,No,Medium
MCA,AI,8.79,AI Engineer,Python,Yes,5,Yes,High
BCA,Data Science,7.48,Business Analyst,Python,No,3,Yes,Medium
MBA,Cyber Security,6.69,Support Engineer,Python,No,1,Yes,Low
B.Tech,Finance,8.45,Business Analyst,Java,Yes,2,No,Medium
B.Sc,IT,9.13,Cloud Engineer,C++,Yes,5,Yes,High
MCA,Machine Learning,8.86,AI Engineer,Python,Yes,4,Yes,High
BCA,Information Security,9.69,Cyber Security Analyst,Python,Yes,4,No,High
B.Sc,Machine Learning,8.42,AI Engineer,Python,Yes,3,Yes,Medium
M.Tech,Business Analytics,6.27,Business Analyst,Java,No,0,Yes,Low
MCA,Machine Learning,9.39,AI Engineer,Python,Yes,5,Yes,High
BCA,Cyber Security,8.32,Cyber Security Analyst,Python,Yes,3,Yes,Medium
MBA,Data Science,7.26,Business Analyst,Python,No,3,Yes,Medium
